iter	RMSE
0	89.95670552
1	88.52783372
2	87.01272135
3	85.51233828
4	84.10752243
5	82.52001921
6	80.87693768
7	79.53386788
8	78.3244232
9	77.11618027
10	76.06885526
11	74.98976016
12	73.85843618
13	72.83088744
14	71.68545211
15	70.56956884
16	69.47535348
17	68.61856787
18	67.68638447
19	66.79852691
20	65.8022409
21	64.73345066
22	63.90026794
23	62.88414895
24	62.22978675
25	61.17230513
26	60.50729636
27	59.81051055
28	58.92714313
29	58.22084182
30	57.56365159
31	56.92237806
32	56.22463225
33	55.51851621
34	54.74617841
35	54.25089915
36	53.70354354
37	53.23915678
38	52.47412148
39	51.86872253
40	51.40661221
41	50.87125232
42	50.25163787
43	49.60585077
44	49.17224068
45	48.68441159
46	48.20659213
47	47.67310369
48	47.2323122
49	46.69447221
50	46.29291265
51	45.99289125
52	45.58585478
53	45.34788519
54	44.91991292
55	44.61745751
56	44.19228174
57	43.89167699
58	43.5303042
59	43.27805505
60	42.8298072
61	42.61226862
62	42.22352595
63	41.86009267
64	41.57175173
65	41.28700622
66	40.99186865
67	40.74089312
68	40.44778237
69	40.18024023
70	39.96153393
71	39.80116756
72	39.57538512
73	39.27289203
74	39.03222875
75	38.81296843
76	38.56135747
77	38.34487049
78	38.06056605
79	37.82782677
80	37.51760824
81	37.25312942
82	36.99491786
83	36.78010997
84	36.47788417
85	36.39313269
86	36.30376424
87	36.08460187
88	35.9809045
89	35.79006439
90	35.59484156
91	35.47801626
92	35.25332113
93	35.00165381
94	34.88504314
95	34.81699462
96	34.64604958
97	34.49653891
98	34.4288941
99	34.36205218
100	34.11809362
101	34.05776419
102	33.8397568
103	33.73020813
104	33.52125713
105	33.32866864
106	33.21323065
107	33.12915174
108	33.03883864
109	32.87942406
110	32.80735161
111	32.74026639
112	32.69494212
113	32.62441788
114	32.53219693
115	32.35314244
116	32.28562579
117	32.18257236
118	32.0920715
119	32.03123511
120	31.97076142
121	31.88072509
122	31.81281159
123	31.72075021
124	31.55874826
125	31.41612625
126	31.35755775
127	31.31593478
128	31.22819296
129	31.14568952
130	30.95152521
131	30.81219313
132	30.75343703
133	30.68256542
134	30.60331143
135	30.54810992
136	30.47853302
137	30.41994237
138	30.211398
139	30.14082507
140	29.99495556
141	29.91398273
142	29.86108926
143	29.6818704
144	29.5819994
145	29.4676326
146	29.38817498
147	29.19091622
148	29.10786567
149	29.06057552
150	29.0012072
151	28.94428377
152	28.77767513
153	28.71427563
154	28.65235089
155	28.50290412
156	28.32396968
157	28.23563443
158	28.12184217
159	28.03559874
160	27.76489299
161	27.69362215
162	27.61884716
163	27.55994318
164	27.50266483
165	27.41951968
166	27.18858219
167	27.09101444
168	26.9835882
169	26.67884718
170	26.45478042
171	26.37606577
172	26.29534999
173	26.02276541
174	25.9594386
175	25.89374068
176	25.82308978
177	25.6314394
178	25.53209221
179	25.35232091
180	25.27332423
181	25.19187866
182	25.11620766
183	24.93745411
184	24.86032835
185	24.7911651
186	24.62837289
187	24.56146055
188	24.494237
189	24.43180941
190	24.38558283
191	24.31810285
192	24.25059377
193	24.19565442
194	24.01569865
195	23.93748095
196	23.8013037
197	23.66519502
198	23.57146276
199	23.45536394
200	23.39646171
201	23.34562086
202	23.13076413
203	23.07315882
204	23.01852423
205	22.95524561
206	22.89795997
207	22.85443904
208	22.79429805
209	22.73582359
210	22.67653057
211	22.4843126
212	22.42309525
213	22.23339031
214	22.17212824
215	21.93086715
216	21.77586161
217	21.68432661
218	21.47888369
219	21.42486524
220	21.37045621
221	21.14684269
222	21.09285565
223	21.04201249
224	20.98722507
225	20.93357
226	20.76956327
227	20.71674042
228	20.66141998
229	20.60975926
230	20.39721177
231	20.34876882
232	20.29753202
233	20.13228148
234	19.95607626
235	19.89296139
236	19.84468302
237	19.7156589
238	19.67271833
239	19.62422715
240	19.56704955
241	19.40585208
242	19.36211337
243	19.21069252
244	19.15960354
245	18.97441175
246	18.9339881
247	18.8912248
248	18.73683233
249	18.69750395
250	18.65683604
251	18.61359102
252	18.50031483
253	18.45721926
254	18.34344592
255	18.28538551
256	18.23543608
257	18.06593548
258	18.02622809
259	17.98034917
260	17.93523552
261	17.89506947
262	17.82869165
263	17.7889885
264	17.69149078
265	17.62630553
266	17.58703305
267	17.54817224
268	17.44845247
269	17.38918686
270	17.3045211
271	17.2438082
272	17.20564684
273	17.17164068
274	17.12650029
275	17.02350063
276	16.98568233
277	16.95083814
278	16.85358792
279	16.73637157
280	16.699545
281	16.60973831
282	16.46328597
283	16.41950778
284	16.30780611
285	16.17418332
286	16.06979952
287	16.03424589
288	15.9992714
289	15.90489475
290	15.87038672
291	15.84000251
292	15.80879661
293	15.77480696
294	15.71200075
295	15.68260742
296	15.63404303
297	15.60106421
298	15.57112627
299	15.53886281
300	15.50420192
301	15.47257631
302	15.44117046
303	15.41025688
304	15.35595539
305	15.23593667
306	15.20303241
307	15.10409926
308	15.04904821
309	14.99523248
310	14.9656872
311	14.93982031
312	14.91424997
313	14.88856101
314	14.8330064
315	14.80401622
316	14.77761454
317	14.74205286
318	14.69124653
319	14.66304071
320	14.61086043
321	14.50059745
322	14.47281942
323	14.43311112
324	14.33922788
325	14.31143938
326	14.28668522
327	14.259854
328	14.18125443
329	14.1545849
330	14.13003123
331	14.08145032
332	14.05770156
333	14.00883594
334	13.97679942
335	13.95117211
336	13.92506305
337	13.89922151
338	13.86251685
339	13.8351297
340	13.78785505
341	13.76530273
342	13.74066527
343	13.71623366
344	13.68672665
345	13.66267281
346	13.61682374
347	13.53310457
348	13.50940911
349	13.48815188
350	13.45150692
351	13.41662616
352	13.35072326
353	13.32731471
354	13.23244865
355	13.20944193
356	13.13819577
357	13.11531279
358	13.09270688
359	12.98751996
360	12.96487808
361	12.94278928
362	12.92095804
363	12.85754397
364	12.81929444
365	12.78539828
366	12.76644939
367	12.73855064
368	12.71709105
369	12.68689026
370	12.6657185
371	12.62855154
372	12.54615028
373	12.44620678
374	12.35975661
375	12.3393712
376	12.29977062
377	12.28189315
378	12.22370968
379	12.20365646
380	12.14189285
381	12.0749951
382	12.05506712
383	11.99980805
384	11.9800013
385	11.94845691
386	11.85807814
387	11.83444931
388	11.81505699
389	11.79587354
390	11.7371803
391	11.71808506
392	11.70093647
393	11.66405785
394	11.64524551
395	11.62659088
396	11.59299872
397	11.56003414
398	11.54146841
399	11.50921099
400	11.4683871
401	11.44590114
402	11.42380616
403	11.40578406
404	11.38992442
405	11.37219754
406	11.31767877
407	11.3000804
408	11.24981999
409	11.23245653
410	11.18670026
411	11.15950595
412	11.14240688
413	11.05769261
414	11.04047891
415	11.02345959
416	10.940573
417	10.91263145
418	10.88220115
419	10.81461443
420	10.7981385
421	10.7696744
422	10.75302912
423	10.73836512
424	10.70908368
425	10.67939344
426	10.62474195
427	10.60834776
428	10.5884412
429	10.54455973
430	10.52848648
431	10.48225846
432	10.45297621
433	10.42462935
434	10.40002766
435	10.37467223
436	10.35876677
437	10.34304652
438	10.32751101
439	10.27937083
440	10.24456307
441	10.21899901
442	10.17650944
443	10.14938958
444	10.1338817
445	10.08788683
446	10.07258968
447	10.04579627
448	9.995568479
449	9.980665395
450	9.965893972
451	9.924983119
452	9.903610674
453	9.888992285
454	9.863977442
455	9.849495652
456	9.825210577
