iter	Passed	Remaining
0	3	3596
1	5	2974
2	10	3439
3	13	3270
4	15	3062
5	17	2926
6	20	2860
7	22	2788
8	27	3023
9	30	3003
10	32	2943
11	35	2913
12	37	2878
13	39	2799
14	42	2795
15	43	2699
16	45	2640
17	47	2584
18	49	2539
19	50	2489
20	52	2444
21	54	2404
22	55	2371
23	57	2349
24	59	2322
25	61	2286
26	62	2253
27	63	2191
28	64	2164
29	65	2133
30	67	2096
31	68	2071
32	69	2049
33	71	2023
34	72	2009
35	74	1993
36	75	1973
37	77	1954
38	78	1937
39	79	1918
40	81	1902
41	82	1886
42	84	1870
43	85	1856
44	86	1842
45	88	1834
46	89	1824
47	91	1813
48	92	1803
49	94	1790
50	95	1779
51	97	1769
52	98	1759
53	99	1750
54	101	1739
55	102	1729
56	104	1723
57	105	1715
58	107	1709
59	107	1690
60	109	1681
61	109	1662
62	111	1654
63	112	1647
64	114	1640
65	115	1633
66	116	1626
67	118	1619
68	119	1612
69	121	1609
70	122	1604
71	123	1589
72	124	1584
73	126	1578
74	127	1572
75	128	1565
76	130	1560
77	131	1555
78	132	1550
79	134	1545
80	136	1543
81	137	1540
82	139	1538
83	140	1534
84	142	1529
85	143	1525
86	144	1520
87	146	1515
88	147	1511
89	149	1506
90	150	1502
91	151	1498
92	153	1496
93	154	1493
94	156	1490
95	157	1487
96	159	1482
97	160	1478
98	161	1474
99	163	1469
100	164	1466
101	166	1462
102	167	1458
103	169	1456
104	170	1452
105	172	1450
106	173	1447
107	174	1445
108	176	1441
109	177	1437
110	179	1434
111	180	1431
112	181	1427
113	183	1424
114	184	1421
115	186	1418
116	187	1415
117	189	1413
118	190	1409
119	191	1406
120	193	1402
121	194	1399
122	195	1395
123	197	1392
124	198	1388
125	199	1385
126	201	1382
127	202	1380
128	204	1377
129	205	1375
130	206	1372
131	208	1369
132	209	1367
133	211	1364
134	212	1362
135	213	1359
136	215	1356
137	216	1353
138	218	1351
139	219	1348
140	220	1345
141	222	1343
142	223	1340
143	225	1338
144	226	1336
145	227	1333
146	229	1330
147	230	1328
148	232	1325
149	233	1324
150	235	1321
151	236	1319
152	237	1316
153	239	1314
154	240	1312
155	242	1309
156	243	1307
157	244	1304
158	246	1301
159	247	1299
160	248	1296
161	250	1295
162	251	1293
163	253	1290
164	254	1288
165	255	1286
166	257	1284
167	258	1281
168	260	1279
169	261	1276
170	262	1274
171	264	1271
172	265	1271
173	267	1269
174	268	1267
175	270	1265
176	271	1262
177	272	1260
178	274	1258
179	275	1256
180	277	1253
181	278	1251
182	279	1249
183	281	1246
184	282	1245
185	284	1243
186	285	1241
187	286	1239
188	288	1237
189	289	1235
190	291	1232
191	292	1230
192	293	1228
193	295	1225
194	296	1223
195	297	1221
196	299	1219
197	300	1218
198	302	1216
199	303	1215
200	305	1212
201	306	1210
202	307	1208
203	309	1206
204	310	1204
205	311	1202
206	313	1200
207	314	1198
208	316	1196
209	317	1195
210	319	1193
211	320	1191
212	321	1189
213	323	1187
214	324	1185
215	325	1183
216	327	1181
217	328	1179
218	330	1178
219	331	1176
220	333	1174
221	334	1172
222	336	1170
223	337	1168
224	338	1166
225	340	1164
226	341	1162
227	343	1163
228	345	1161
229	346	1160
230	348	1159
231	349	1158
232	351	1156
233	353	1155
234	354	1154
235	356	1152
236	357	1151
237	359	1149
238	360	1147
239	361	1146
240	363	1145
241	365	1144
242	367	1143
243	368	1141
244	369	1139
245	371	1138
246	372	1136
247	374	1134
248	375	1132
249	377	1131
250	378	1130
251	380	1129
252	382	1128
253	383	1127
254	385	1125
255	387	1124
256	388	1123
257	390	1122
258	391	1120
259	393	1118
260	394	1117
261	396	1115
262	397	1114
263	399	1112
264	400	1110
265	401	1109
266	403	1107
267	404	1105
268	406	1103
269	407	1101
270	408	1099
271	409	1097
272	411	1095
273	412	1093
274	414	1091
275	415	1090
276	417	1088
277	418	1086
278	419	1084
279	421	1083
280	422	1080
281	423	1079
282	425	1077
283	426	1075
284	428	1074
285	429	1072
286	431	1070
287	432	1069
288	433	1067
289	435	1065
290	436	1063
291	438	1062
292	439	1060
293	440	1058
294	442	1056
295	443	1055
296	445	1053
297	446	1052
298	448	1050
299	449	1049
300	451	1047
301	452	1045
302	453	1044
303	455	1042
304	456	1040
305	457	1038
306	459	1037
307	461	1035
308	462	1034
309	464	1032
310	465	1031
311	466	1029
312	468	1027
313	469	1025
314	470	1024
315	472	1022
316	473	1020
317	475	1019
318	476	1017
319	477	1015
320	479	1014
321	480	1012
322	482	1010
323	483	1009
324	485	1007
325	486	1005
326	487	1004
327	489	1002
328	490	1000
329	492	999
330	493	997
331	495	996
332	496	994
333	497	992
334	499	991
335	500	989
336	502	987
337	503	985
338	504	984
339	506	982
340	507	981
341	509	979
342	510	978
343	512	976
344	513	975
345	515	973
346	516	971
347	517	970
348	519	968
349	520	966
350	521	965
351	523	963
352	524	962
353	526	960
354	527	959
355	529	957
356	530	955
357	532	954
358	533	952
359	534	950
360	536	949
361	537	947
362	538	945
363	540	944
364	541	942
365	543	941
366	544	939
367	546	938
368	547	936
369	548	934
370	550	932
371	551	931
372	552	929
373	554	927
374	555	926
375	557	924
376	558	923
377	560	921
378	561	920
379	563	918
380	564	917
381	565	915
382	567	913
383	568	911
384	569	910
385	571	908
386	572	907
387	574	905
388	575	904
389	576	902
390	578	900
391	579	899
392	581	897
393	582	895
394	583	894
395	585	892
396	586	891
397	588	889
398	589	888
399	591	886
400	592	884
401	593	883
402	595	881
403	596	880
404	597	878
405	599	876
406	600	874
407	601	873
408	603	871
409	604	870
410	606	868
411	607	867
412	609	865
413	610	864
414	611	862
415	613	860
416	614	859
417	616	857
418	617	856
419	618	854
420	620	853
