iter	RMSE
0	6.92910733
1	6.876346159
2	6.825070316
3	6.767453912
4	6.699498149
5	6.64722388
6	6.596325679
7	6.543966002
8	6.506012837
9	6.461259474
10	6.425373309
11	6.374680609
12	6.338089638
13	6.292366841
14	6.248440493
15	6.203570357
16	6.165207713
17	6.125390888
18	6.086687192
19	6.05451554
20	6.02369547
21	5.986818596
22	5.95292812
23	5.92467176
24	5.897536028
25	5.87768491
26	5.84769793
27	5.816514614
28	5.788882009
29	5.759441474
30	5.74196587
31	5.716554245
32	5.69523985
33	5.676441229
34	5.651738434
35	5.629548255
36	5.601871331
37	5.578482309
38	5.558642571
39	5.52958284
40	5.508418496
41	5.492293961
42	5.474323463
43	5.460391628
44	5.450179716
45	5.429992205
46	5.411771749
47	5.389383843
48	5.374557439
49	5.357477567
50	5.340690507
51	5.320092459
52	5.299777372
53	5.279762102
54	5.263873538
55	5.25304253
56	5.239892204
57	5.221788718
58	5.209454103
59	5.192378693
60	5.180630769
61	5.16529744
62	5.151620869
63	5.137434198
64	5.124771141
65	5.114771175
66	5.102136761
67	5.088060867
68	5.070081925
69	5.05672767
70	5.044155803
71	5.030423289
72	5.023244827
73	5.009749914
74	4.992962199
75	4.973762844
76	4.966778836
77	4.948366053
78	4.942791336
79	4.934545867
80	4.920849748
81	4.908926189
82	4.902150704
83	4.89081764
84	4.882082074
85	4.868210715
86	4.858751939
87	4.849487007
88	4.837454806
89	4.827691766
90	4.819228218
91	4.807656631
92	4.792810605
93	4.783528367
94	4.774958041
95	4.770598957
96	4.765753805
97	4.755477951
98	4.745577505
99	4.738884856
100	4.729645553
101	4.725644791
102	4.711904165
103	4.700256099
104	4.689672433
105	4.681817162
106	4.676512543
107	4.67366097
108	4.664773327
109	4.654781763
110	4.648957859
111	4.641490897
112	4.634616452
113	4.628261603
114	4.619453551
115	4.61088108
116	4.602429964
117	4.598447023
118	4.588789613
119	4.583096248
120	4.573706208
121	4.562332212
122	4.556978116
123	4.543743332
124	4.537740709
125	4.531863044
126	4.52433252
127	4.51908241
128	4.514652738
129	4.507350974
130	4.502814304
131	4.497795016
132	4.49032213
133	4.48276583
134	4.48150326
135	4.474124209
136	4.463415778
137	4.457746736
138	4.447236482
139	4.443895665
140	4.436073671
141	4.427933661
142	4.427040565
143	4.417286758
144	4.412140903
145	4.404657182
146	4.400460494
147	4.390139434
148	4.381839426
149	4.377175093
150	4.365669501
151	4.356350077
152	4.352066288
153	4.34974346
154	4.344127961
155	4.339144039
156	4.330210231
157	4.31955366
158	4.313103308
159	4.304946237
160	4.302122011
161	4.296687568
162	4.292573291
163	4.287441521
164	4.28143367
165	4.274801164
166	4.271200192
167	4.268592947
168	4.259711762
169	4.25235664
170	4.246861771
171	4.239656063
172	4.234757849
173	4.22586661
174	4.216802613
175	4.212009425
176	4.202517618
177	4.187634133
178	4.178305398
179	4.174403418
180	4.171998092
181	4.166755445
182	4.158354165
183	4.156267711
184	4.152473578
185	4.149459716
186	4.146403338
187	4.144782202
188	4.142675667
189	4.138207292
190	4.136545726
191	4.12591609
192	4.114089019
193	4.103188643
194	4.099989882
195	4.092596238
196	4.089234211
197	4.08396346
198	4.077130815
199	4.07420334
200	4.06938218
201	4.064761741
202	4.061719425
203	4.060602474
204	4.056856821
205	4.05391629
206	4.04820723
207	4.044996917
208	4.042293242
209	4.039377392
210	4.035868015
211	4.030391812
212	4.027707994
213	4.017173736
214	4.014982528
215	4.013346109
216	4.009554764
217	4.002482771
218	3.994721139
219	3.993102404
220	3.985564463
221	3.984403627
222	3.980277505
223	3.977013573
