iter	Passed	Remaining
0	1	1080
1	2	1202
2	3	1096
3	4	1071
4	5	1053
5	5	937
6	6	950
7	7	944
8	8	986
9	9	978
10	10	978
11	11	979
12	13	990
13	14	995
14	15	999
15	16	992
16	17	1003
17	18	998
18	19	998
19	20	994
20	21	1005
21	22	1001
22	23	1010
23	24	1009
24	25	1005
25	27	1011
26	27	1006
27	29	1010
28	30	1007
29	31	1010
30	32	1011
31	33	1006
32	34	1008
33	35	1002
34	36	1005
35	37	1004
36	38	1006
37	39	1004
38	40	1002
39	41	1002
40	42	1000
41	43	999
42	44	997
43	45	984
44	46	989
45	47	988
46	48	986
47	50	991
48	50	988
49	52	988
50	53	988
51	54	989
52	55	989
53	56	988
54	57	989
55	58	987
56	59	985
57	60	983
58	61	983
59	62	979
60	63	984
61	64	981
62	65	980
63	66	979
64	68	979
65	69	978
66	70	978
67	71	976
68	72	975
69	73	975
70	74	973
71	75	973
72	76	971
73	77	971
74	78	970
75	79	969
76	80	969
77	81	967
78	82	966
79	83	963
80	85	965
81	86	963
82	87	963
83	88	964
84	89	962
85	90	963
86	91	961
87	92	956
88	93	955
89	94	954
90	95	954
91	96	952
92	97	951
93	98	950
94	99	948
95	100	946
96	101	944
97	102	943
98	103	942
99	104	940
100	105	941
101	106	939
102	107	938
103	108	936
104	109	936
105	110	935
106	111	934
107	112	933
108	113	931
109	115	933
110	116	932
111	117	932
112	119	934
113	120	934
114	120	930
115	122	929
116	123	930
117	124	932
118	125	932
119	127	932
120	128	934
121	129	935
122	131	935
123	132	934
124	133	935
125	134	935
126	136	935
127	137	937
128	138	937
129	139	936
130	141	937
131	142	937
132	143	936
133	145	937
134	146	936
135	147	936
136	148	936
137	150	937
138	151	935
139	152	936
140	153	934
141	154	933
142	155	932
143	156	930
144	157	929
145	158	928
146	159	926
147	160	925
148	161	923
149	162	922
150	164	922
151	165	920
152	166	919
153	167	918
154	168	916
155	169	915
156	170	913
157	171	912
158	172	911
159	173	910
160	174	908
161	175	907
162	176	905
163	177	904
164	178	903
165	179	901
166	180	900
167	181	899
168	182	898
169	183	896
170	184	895
171	185	892
172	186	890
173	187	889
174	188	888
175	189	886
176	190	885
177	191	884
178	192	882
179	193	881
180	194	880
181	195	879
182	196	878
183	197	877
184	198	875
185	200	875
186	200	873
187	202	872
188	203	871
189	204	870
190	205	868
191	206	867
192	207	866
193	208	864
194	209	863
195	210	862
196	211	861
197	212	860
198	213	858
199	214	858
200	215	856
201	216	855
202	217	854
203	218	853
204	219	852
205	220	850
206	221	850
207	222	848
208	223	847
209	224	846
210	226	845
211	227	843
212	228	842
213	229	841
214	230	840
215	231	839
216	232	838
217	233	836
218	234	836
219	235	835
220	236	834
221	237	833
222	238	832
223	239	830
224	240	829
225	241	828
226	242	827
227	244	826
228	245	825
229	246	824
230	247	822
231	248	822
232	249	820
233	250	819
234	251	818
235	252	816
236	253	815
237	254	814
238	255	813
239	256	812
240	257	810
241	258	809
242	259	808
243	260	807
244	261	806
245	262	805
246	263	803
247	265	803
248	265	802
249	267	801
250	267	799
251	269	798
252	270	797
253	271	796
254	272	795
255	273	794
256	274	793
257	275	792
258	276	791
259	277	789
260	278	788
261	279	787
262	280	786
263	281	785
264	282	784
265	283	783
266	284	781
267	285	780
268	286	779
269	287	778
270	289	777
271	290	776
272	291	775
273	292	774
274	293	773
275	294	772
276	295	771
277	296	770
278	297	769
279	298	767
280	299	766
281	300	766
282	301	764
283	302	763
284	304	762
285	304	761
286	306	760
287	307	759
288	308	757
289	309	756
290	310	755
291	311	754
292	312	753
293	313	752
294	314	751
295	315	750
296	316	749
297	317	748
298	318	747
299	319	746
300	320	745
301	321	743
302	323	743
303	324	742
304	325	741
305	326	740
306	327	740
307	329	739
308	330	738
309	331	737
310	332	736
311	333	735
312	334	734
313	335	733
314	336	732
315	337	730
316	338	730
317	339	728
318	340	727
319	341	726
320	343	725
321	344	724
322	345	723
323	346	722
324	347	721
325	348	720
326	349	719
327	350	718
328	352	718
329	353	717
330	354	716
331	355	716
332	356	714
333	358	714
334	359	713
335	360	712
336	361	711
337	362	710
338	363	709
339	365	708
340	366	707
341	367	706
342	368	706
343	369	705
344	371	704
345	372	703
346	373	702
347	374	701
348	375	700
349	376	699
350	377	698
351	379	697
352	380	697
353	381	695
354	382	695
355	383	694
356	384	692
357	385	691
358	386	690
359	387	689
360	388	688
361	390	688
362	391	686
363	392	685
364	393	684
365	394	683
366	395	682
367	396	681
368	397	680
369	399	679
370	400	678
371	401	677
372	402	676
373	403	675
374	404	674
375	405	672
376	406	671
377	407	670
378	408	669
379	409	668
380	410	667
381	412	666
382	413	665
383	414	664
384	415	663
385	416	662
386	417	661
387	418	660
388	419	659
389	421	658
390	422	657
391	423	656
392	424	655
393	425	654
394	426	653
395	427	652
