iter	RMSE
0	0.9732834256
1	0.9515497279
2	0.9345398909
3	0.9174816803
4	0.9035569686
5	0.8915792959
6	0.8815395608
7	0.8710874962
8	0.8631450788
9	0.8540828319
10	0.8468408436
11	0.8408652417
12	0.8330769507
13	0.8271902238
14	0.8229192301
15	0.8188973607
16	0.8140225901
17	0.810624507
18	0.8070200058
19	0.8037495356
20	0.8009630961
21	0.798945455
22	0.7965973849
23	0.7943106248
24	0.7924829788
25	0.789705863
26	0.7887037744
27	0.7873127415
28	0.7858871147
29	0.7848206624
30	0.7834876006
31	0.7823831195
32	0.7810092897
33	0.779802989
34	0.7785723241
35	0.7754160092
36	0.7746532837
37	0.7736615037
38	0.7729588785
39	0.7702920629
40	0.7696021164
41	0.7690026525
42	0.7680963205
43	0.767131426
44	0.7657703178
45	0.7626133063
46	0.7617120489
47	0.7593437832
48	0.7588108066
49	0.7565092774
50	0.7561275789
51	0.7558060682
52	0.753425854
53	0.7524415188
54	0.751912507
55	0.7507629875
56	0.7499852745
57	0.7494026743
58	0.7490014958
59	0.7474326399
60	0.7457805917
61	0.7442908929
62	0.7424402382
63	0.7396718447
64	0.7393109638
65	0.7373619987
66	0.7361857029
67	0.7355712055
68	0.7351511393
69	0.7340348371
70	0.7332306003
71	0.7322328195
72	0.7315342759
73	0.7298777639
74	0.7295064854
75	0.7276558662
76	0.7269993896
77	0.7266516981
78	0.7256302586
79	0.7237082575
80	0.7230842267
81	0.7217767531
82	0.7207786479
83	0.718953722
84	0.7175402175
85	0.7165617259
86	0.7153100898
87	0.7147283392
88	0.7138143418
89	0.7124360118
90	0.7111175922
91	0.7097700231
92	0.7094275915
93	0.7081269953
94	0.7077351797
95	0.7074508375
96	0.7059393063
97	0.7043940352
98	0.7032072605
99	0.7023813727
100	0.7016200221
101	0.7008335645
102	0.7003728298
103	0.6991993199
104	0.6986395188
105	0.6979097949
106	0.6974456804
107	0.6963486728
108	0.69593035
109	0.6943984563
110	0.6924636567
111	0.6920579751
112	0.6916267118
113	0.6910591018
114	0.6906477359
115	0.6897930489
116	0.6894604216
117	0.6889945175
118	0.688626032
119	0.6873402719
120	0.6864285071
121	0.6854464998
122	0.6838318081
123	0.6836055769
124	0.6820590177
125	0.6818360078
126	0.6807799694
127	0.6793433299
128	0.6787256719
129	0.6777565918
130	0.6768234932
131	0.6763671745
132	0.6758575188
133	0.6743663263
134	0.6741945685
135	0.6738345572
136	0.6735844348
137	0.6733842759
138	0.6730125851
139	0.6727961876
140	0.6714850641
141	0.6700468746
142	0.6673131793
143	0.6660952459
144	0.6659494901
145	0.6653623672
146	0.6645485039
147	0.6636716734
148	0.6623387975
149	0.6621734401
150	0.6617878791
151	0.6612291629
152	0.6607099273
153	0.6602035359
154	0.659745897
155	0.6594076216
156	0.6591009686
157	0.657374301
158	0.656911168
159	0.6565463782
160	0.6557117544
161	0.6549861736
162	0.6542019461
163	0.654020993
164	0.6537240087
165	0.6532506011
166	0.6527954484
167	0.6516074402
168	0.6513452536
169	0.6509271382
170	0.6505048865
171	0.6499315087
172	0.6495204926
173	0.6491264375
174	0.6487626343
175	0.6486803382
176	0.6483302041
177	0.6468197292
178	0.6463308939
179	0.645975218
180	0.6455193356
181	0.6441782745
182	0.6438370038
183	0.6424596243
184	0.6422249671
185	0.6418940552
186	0.6415889407
187	0.6412938277
188	0.6410107303
189	0.6397550254
190	0.6394127459
191	0.6391391843
192	0.6379243776
193	0.6376603182
194	0.6365007988
195	0.6352887663
196	0.6350334157
197	0.6347107636
198	0.6344493265
199	0.6332386596
200	0.6327927579
201	0.631658595
202	0.6314196823
203	0.6311895079
204	0.6305876239
205	0.6294578768
206	0.6292354195
207	0.6281435416
208	0.6279154151
209	0.626314317
210	0.6260916951
211	0.625871743
212	0.6246541379
213	0.6240934267
214	0.6238494347
215	0.6225153118
216	0.6222743623
217	0.6219226607
218	0.6216922928
219	0.6206518414
220	0.6199147225
221	0.6194349178
222	0.6184287563
223	0.6181505434
224	0.6179681293
225	0.6177924608
226	0.6173731274
227	0.617048579
228	0.6162178994
229	0.616017037
230	0.6154911289
231	0.6150855171
232	0.6148390526
233	0.614218149
234	0.6140536627
235	0.612934376
236	0.6115042551
237	0.611047742
238	0.6108885331
239	0.6095472271
240	0.6091751535
241	0.6090212829
242	0.6080431781
243	0.6076803104
244	0.6075171494
245	0.6071676273
246	0.6058041526
247	0.6050086406
248	0.6044711989
249	0.6029567997
250	0.602203534
251	0.6012501425
252	0.6003298322
253	0.5999916158
254	0.5993911844
255	0.5991456182
256	0.5980301946
257	0.5976946787
258	0.5962938032
259	0.5959775342
260	0.5958312652
261	0.5954496808
262	0.5947334999
263	0.5945149288
264	0.5943595388
265	0.5941632983
266	0.5930359666
267	0.5927269624
268	0.591316682
269	0.5904146806
270	0.5901159041
271	0.5892447893
272	0.5889542264
273	0.5880742801
274	0.5876313397
275	0.587109412
276	0.5866273206
277	0.5864545266
278	0.5862126261
279	0.5858843725
280	0.5857552601
281	0.5843804435
282	0.5835329183
283	0.5827148838
284	0.5818998688
285	0.5817583368
286	0.5804244517
287	0.5801294602
288	0.5797078684
289	0.5789142286
290	0.5786622104
291	0.5773518014
292	0.5765836919
293	0.5763401071
294	0.5753453191
295	0.5751050315
296	0.573711906
297	0.5724448867
298	0.5721599482
299	0.5709044612
300	0.5706747575
301	0.569925646
302	0.569721568
303	0.5689984461
304	0.5687908864
305	0.5685835076
306	0.5683701921
307	0.5680843271
308	0.5673853649
309	0.5671633965
310	0.5669959075
311	0.5665635433
312	0.565350886
313	0.5651592256
314	0.5650050578
315	0.56432788
316	0.5641148089
317	0.5629228242
318	0.5619500437
319	0.5612937495
320	0.5609270818
321	0.5595575288
322	0.5594090742
323	0.5587826705
324	0.5585792573
325	0.5583833673
326	0.5580605161
327	0.5570556991
328	0.5568808329
329	0.5566793315
330	0.5564082315
331	0.555800913
332	0.5556921652
333	0.5554186453
334	0.5553051937
335	0.5541467832
336	0.5535414135
337	0.553072294
338	0.5516742111
339	0.5515641145
340	0.5502440985
341	0.5499198769
342	0.5491484164
343	0.5478732197
344	0.5476901681
345	0.5464538357
346	0.5454738472
347	0.5453183262
348	0.5440830079
349	0.5428861514
350	0.5422918479
351	0.541829166
352	0.5394905218
353	0.5389152181
354	0.5387973849
355	0.5386183727
356	0.5376661971
357	0.5375101171
358	0.5373367007
359	0.5371696852
360	0.5367365184
361	0.5361919698
362	0.5360293948
363	0.535108812
364	0.5343074851
365	0.5341260501
366	0.5339993569
367	0.5336835669
368	0.5315619319
369	0.531394183
370	0.5311985687
371	0.5302083492
372	0.5296771985
373	0.5288220384
374	0.5286698628
375	0.5285623211
376	0.5275022009
377	0.5274085458
378	0.5262431107
379	0.5255266887
380	0.5254259269
381	0.5252180405
382	0.5246883591
383	0.5245141508
384	0.523487067
385	0.5233381494
386	0.5232067011
387	0.5227061688
388	0.5222238713
389	0.5211593875
390	0.5206444031
391	0.5199625934
392	0.5198593977
393	0.5196230362
394	0.5194930915
395	0.5193995378
396	0.5192587562
397	0.5184075879
398	0.5172951636
399	0.5168237932
400	0.5166853699
401	0.5165091211
402	0.5162996943
403	0.5161547712
404	0.515611517
405	0.5155165116
406	0.5147163381
407	0.5145861236
408	0.5144945049
409	0.5143951015
410	0.5142660596
411	0.5141866444
412	0.5139090711
413	0.5135040444
414	0.5134267419
415	0.5132999748
416	0.5123205047
417	0.5110699238
418	0.51044665
419	0.5103239737
420	0.5098541602
421	0.5088593694
422	0.5087843129
423	0.5077023352
424	0.5075822581
425	0.5061190475
426	0.5060467363
427	0.5054536754
428	0.5036883423
429	0.5032394931
430	0.5031239478
431	0.5030544438
432	0.5029726113
433	0.5026734881
434	0.502541736
435	0.5022891176
436	0.5018738573
437	0.500659948
438	0.5004720656
439	0.500340298
440	0.4984417402
441	0.4983405085
442	0.4979028459
443	0.4978050272
444	0.4967459584
445	0.4958713341
446	0.494731526
447	0.493511405
448	0.4930859229
449	0.492295725
450	0.4912188581
451	0.4901081305
452	0.4898567595
453	0.4897479329
454	0.4896590693
455	0.4887138726
456	0.488299767
457	0.4872572073
458	0.4872183126
459	0.4863147023
460	0.4855751759
461	0.4851662554
462	0.4850374518
463	0.4846495006
464	0.4844240401
465	0.4834360663
466	0.4832282577
467	0.4828467238
468	0.4822194742
469	0.4820373189
470	0.4819304209
471	0.4809507923
472	0.4801201229
473	0.4800791011
474	0.4800057987
475	0.4796412181
476	0.4795371482
477	0.4786172932
478	0.4785173197
479	0.4784802016
480	0.4781222451
481	0.4772148991
482	0.477141807
483	0.4762517696
484	0.4761546125
485	0.4761191196
486	0.4753241372
487	0.4751193263
488	0.475048759
489	0.4746796157
490	0.4739059418
491	0.472961491
492	0.4728932445
493	0.4724171934
494	0.472080548
495	0.4720162419
496	0.471954315
497	0.4710953998
498	0.4703532434
499	0.4693937995
500	0.4693354498
501	0.468958079
502	0.4689233097
503	0.4686004913
504	0.4678051337
505	0.4675588648
506	0.4674479147
507	0.4667299299
508	0.4666376858
509	0.465941722
510	0.4658273843
511	0.4652393686
512	0.4644875001
513	0.4639755542
514	0.4638603211
515	0.4631807799
516	0.4631151971
517	0.4624612264
518	0.4616929896
519	0.4609834126
520	0.4595477694
521	0.4591999859
522	0.4585670672
523	0.4584552162
524	0.4583440238
525	0.456953072
526	0.4562034266
527	0.4555866211
528	0.4546607211
529	0.454383002
530	0.4542900722
531	0.4536931149
532	0.4535857605
533	0.4534833146
534	0.4521286581
535	0.4507066414
536	0.4506028213
537	0.4500226625
538	0.4494597627
539	0.4481423352
540	0.4478959957
541	0.4466216837
542	0.4460765372
543	0.4448404993
544	0.4447438351
545	0.4442162844
546	0.4441650914
547	0.4434638687
548	0.4433727055
549	0.4428627527
550	0.4423707515
551	0.4421264743
552	0.4420401551
553	0.4416970053
554	0.4404517513
555	0.4397610408
556	0.4389166819
557	0.4376256999
558	0.4375283349
559	0.4370483865
560	0.4365853351
561	0.435824818
562	0.4357444399
563	0.4356049209
564	0.4354444871
565	0.4342270409
566	0.4340804366
567	0.434021942
568	0.4337086
569	0.4332588658
570	0.4325784407
571	0.4321438776
572	0.4318191183
573	0.4313995297
574	0.4309939326
575	0.4304407445
576	0.4303129442
577	0.4291439766
578	0.4286980611
579	0.4285128
580	0.4277464938
581	0.4276686298
582	0.4265349915
583	0.4264401976
584	0.4261931691
585	0.4254033398
586	0.4245532633
587	0.4241565215
588	0.4239914834
589	0.4238978973
590	0.4236798442
591	0.4236122713
592	0.4232291041
593	0.4230463239
594	0.4223927676
595	0.4222462199
596	0.4221938826
597	0.4210865967
598	0.4209960771
599	0.4208898992
600	0.4207295873
601	0.4205325654
602	0.4203333799
603	0.4195754157
604	0.4193941601
605	0.4190211337
606	0.4182300262
607	0.4173609001
608	0.4166685197
609	0.4163089713
610	0.416005473
611	0.4152620412
612	0.4145752108
613	0.4138575297
614	0.4137409564
615	0.4136346663
616	0.4135660202
617	0.41303823
618	0.4129890376
619	0.412886743
620	0.412806544
621	0.4127305284
622	0.4124992165
623	0.4124112731
624	0.4119125123
625	0.4108502084
626	0.4107490417
627	0.4106641417
628	0.4105176162
629	0.4104550658
630	0.4103410947
631	0.4096658411
632	0.4093400466
633	0.408993744
634	0.4088413674
635	0.4087811263
636	0.4081485025
637	0.4071149988
638	0.4066842674
639	0.4062298533
640	0.4056163066
