iter	Passed	Remaining
0	158	158446
1	159	79480
2	159	53111
3	160	39985
4	161	32087
5	161	26800
6	162	23013
7	162	20195
8	163	17988
9	164	16240
10	164	14806
11	165	13600
12	165	12575
13	166	11698
14	166	10956
15	167	10305
16	168	9726
17	168	9210
18	169	8743
19	169	8312
20	170	7925
21	170	7581
22	171	7265
23	171	6979
24	172	6716
25	172	6473
26	173	6244
27	173	6024
28	173	5823
29	174	5642
30	175	5477
31	175	5321
32	176	5172
33	177	5030
34	177	4895
35	178	4770
36	178	4650
37	179	4536
38	179	4428
39	180	4327
40	180	4228
41	181	4137
42	182	4053
43	182	3968
44	183	3887
45	183	3811
46	184	3739
47	184	3668
48	185	3599
49	185	3533
50	186	3471
51	187	3411
52	187	3354
53	188	3298
54	188	3243
55	189	3198
56	190	3147
57	190	3099
58	191	3051
59	191	3006
60	192	2963
61	193	2922
62	193	2881
63	194	2843
64	195	2807
65	195	2769
66	196	2732
67	196	2697
68	197	2663
69	197	2628
70	198	2595
71	199	2569
72	200	2541
73	200	2512
74	201	2484
75	202	2456
76	202	2429
77	203	2401
78	203	2375
79	204	2349
80	204	2325
81	205	2299
82	205	2275
83	206	2252
84	207	2230
85	207	2208
86	208	2185
87	208	2165
88	209	2145
89	210	2125
90	210	2105
91	211	2085
92	211	2067
93	212	2048
94	213	2029
95	213	2012
96	214	1995
97	215	1979
98	215	1962
99	216	1945
100	216	1928
101	217	1912
102	217	1894
103	218	1880
104	218	1866
105	219	1852
106	220	1840
107	221	1826
108	221	1814
109	222	1801
110	223	1788
111	224	1777
112	224	1763
113	225	1749
114	225	1737
115	226	1725
116	226	1712
117	227	1699
118	228	1688
119	228	1676
120	229	1664
121	229	1652
122	230	1642
123	230	1631
124	231	1620
125	232	1609
126	232	1601
127	233	1591
128	234	1581
129	234	1571
130	235	1561
131	236	1552
132	236	1542
133	237	1532
134	237	1524
135	238	1515
136	239	1506
137	239	1497
138	240	1487
139	240	1479
140	241	1471
141	242	1463
142	242	1455
143	243	1446
144	243	1438
145	244	1430
146	245	1422
147	245	1412
148	246	1405
149	246	1398
